ID,LV,Value1,Sum1,Value2,Sum2,Value3,Sum3,EXP1,EXP2,EXP3
92201,1,0.0010,0.0010,0.012,0.012,0.020,0.020,500,0,0
92202,2,0.0010,0.0020,0.017,0.029,0.020,0.040,880,0,0
92203,3,0.0015,0.0035,0.017,0.046,0.030,0.070,1200,0,0
92204,4,0.0015,0.0050,0.021,0.067,0.050,0.120,1500,0,0
92205,5,0.0030,0.0080,0.023,0.090,0.050,0.170,1750,0,0
92206,6,0.0020,0.0100,0.027,0.117,0.060,0.230,2500,0,0
92207,7,0.0050,0.0150,0.031,0.148,0.075,0.305,3750,0,0
92208,8,0.0100,0.0250,0.039,0.187,0.085,0.390,4500,0,0
92209,9,0.0150,0.0400,0.048,0.235,0.100,0.490,6250,0,0
92210,10,0.0300,0.0700,0.065,0.300,0.110,0.600,7500,0,0
